正确学号,错误学号,
1302303210,1302303209,
1302303211,1302303210,
1302303212,1302303211,
1302303214,1302303212,
1302303215,1302303213,
1302303216,1302303214,
1302303217,1302303215,
1302303218,1302303216,
1302303219,1302303217,
1302303220,1302303218,
1302303221,1302303219,
1302303222,1302303220,
1302303223,1302303221,
1302303225,1302303222,
1302303226,1302303223,
1302303227,1302303224,
1302303228,1302303225,
1302303229,1302303226,
1302303230,1302303227,
1302303231,1302303228,
1302303232,1302303229,
1302303233,1302303230,
1302303234,1302303231,
1302303235,1302303232,
1302303236,1302303233,
1302303237,1302303234,
1302303238,1302303235,
1302303239,1302303236,
1302303240,1302303237,
1302303241,1302303238,
1302303242,1302303239,
1302303243,1302303240,
1302303244,1302303241,
1302303245,1302303242,
