[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
民生援建加快西藏新疆实现小康幸福梦,经济,暨南大学,2012年6月28日至8月28日，调研团队前往广东对口支援的新疆喀什、西藏林芝地区进行了62天的深度调研和采访，行程2万余公里，采访185名各族干部群众，总结出“以民生援建为‘龙头’，产业发展和智力支援‘两翼齐飞’”这一广东援疆援藏模式。该模式为西藏新疆跨越式发展和长治久安注入强大活力，为全国对口援藏援疆省提供有益借鉴，为国家统筹发展战略决策提供有益参考。
大调解：探寻社会矛盾纠纷的体系化治理,法律,宁波大学,当前社会矛盾频发，制度性解纷能力不足，必须探寻体系化治理方式。大调解是其中的典型，它是以人民、行政和司法调解为核心构建的联动机制，其特色是：采用自下而上的社会管理创新理念，积极发掘民间调解组织等“功能模块”，努力搭建“支撑平台”，合理形成疏导分流、衔接处理和监管保障的“运行路径”。本项目以宁波市江东区大调解运行实践为调研对象，探究大调解如何发挥社会矛盾体系化治理的效果。
地票制度中的农民权益保护,法律,西南政法大学, 重庆地票制度是城乡建设用地指标统合的一次重大尝试，然而在实际运行中，损害农民利益之现象日益凸显，保障农民权益成为地票制度中一个亟待解决的问题。本文以农民利益为出发点，通过对重庆忠县、北碚区等地的实地调查，将理论设计初衷与实际运行现状进行比对，分析地票交易产生的积极效应，探讨地票交易存在的问题及原因，提出完善建议，缓解城乡土地供需矛盾，为完善地票制度和统筹城乡发展献计献策，进而将地票制度推向全国。
公租房：法律与民生,法律,山东财经大学,作品从法社会学视角，以山东省济南市、潍坊市、东营市、德州市、枣庄市为样本调研公租房的建设、运营实施情况，通过对五市经验和问题的分析，特别是抓住公租房制度建设中的法律制度这一核心问题，从政府、市场、个人在场域中的竞争与合作的逻辑入手，剖析公租房建设现状和制度建设困境，发现了法律脱嵌的现状及法律如何嵌入的关键点，并进一步探索出相关立法建议并试拟出《山东省公共租赁住房管理办法》（建议稿）。
关于社区矫正禁止令运作、效果的实证研究,法律,上海政法学院,社区矫正禁止令是《刑法修正案(八)》中新规定的内容，是对管制犯、缓刑犯具体执行监管措施的革新。本作品经上海市司法局帮助，对上海社区矫正116例禁止令进行宏观的统计分析，同时走访上海各区司法局、司法所、社区矫正中心26个，涉及基层执法人员、服刑人员、中层管理干部96人。经实证分析，发现实务中禁止令的问题，并针对问题提出了可行性建议与方案，报告可为社区矫正禁止令的深入开展提供参考。
关注服刑人员 共建和谐社会,法律,重庆师范大学,本项目以社会支持评定量表、自尊量表、罪犯出监前重新犯罪风险预测量表，在安徽省马鞍山和重庆市监狱随机抽取服刑人员进行问卷调查。通过实证研究建立服刑人员再社会化功效的路径模型，明确其再社会化功效、社会支持及自尊的现状特征，探讨影响其再社会化功效的心理因素。从心理学视角关注服刑人员，对其及监管部门提出合理建议以提升监狱强制社会化的质量和水平，共建和谐社会，实现中国梦及中华民族伟大复兴。
监狱服刑人员心理状况与心理矫治工作的调查研究,法律,济南大学,服刑人员心理障碍和心理疾病发生率显著高于一般人群，这既是他们走上犯罪道路的重要原因，也是他们重返社会的主要障碍。本报告根据在山东省Z监狱长期的、大样本的调查和研究，全面分析了服刑人员的心理特点及心理矫治工作的现状，总结了监狱开展心理矫治工作的基本规律，提出了改进监狱心理矫治工作的思考与展望。本报告将为改进与完善我国监狱心理矫治工作，促进对服刑人员管教工作的科学化与人性化贡献力量。
建设工程表见代理纠纷的审判方法和风险防范研究,法律,清华大学,城镇化进程中施工挂靠、转包等违法经营行为泛滥，引发的表见代理纠纷成为关注焦点。由于立法简陋，纠纷同案异判现象突出，成为困扰当下司法界和建筑业的重大难题。报告以规范分析、实证分析和专业访谈为调研方法，深入建筑行业和司法一线，总结当下审判症结和行业困境。针对性地从表见代理的构成要件切入，深度结合实证案例进行分析，构建了一套能为法官实际操作的“审判新方法”，并为商事主体编织“风险防范网”。
民间借贷法律规制研究,法律,南京师范大学,本作品是针对民间借贷的法律规制进行研究的调研报告，作品采用实证的研究方法，基于对江苏省民间借贷现状以及江苏省民间借贷法律监管典型做法的剖析，总结经验，分析存在的问题，并站在法学的专业视角上给出针对性的对策建议，草拟相关建议稿，希望能为江苏省乃至全国经济社会的健康持续发展贡献绵薄之力。
民间金融创新监管视角下的P2P网贷平台法律规制研究,法律,中央民族大学,P2P网络借贷平台作为一个民间金融与现代网络技术结合的新事物，是民间金融的一大创新，但其在具有积极意义的同时也存在巨大潜在风险，需要重点研究其法律监管问题。本作品拟通过借鉴国外相关研究成果加以自己的思考和探索，以期能对P2P网络借贷平台的法律规制问题提供一些有益的参考。
莫让债权付东流,法律,中国人民大学, 司法拍卖乱象是司法执行难的主要原因之一。目前我国司法拍卖主要采取委托拍卖公司拍卖的办法。委托拍卖中的高额佣金和腐败现象严重危害了债权人的权利，使债权“付之东流”。2012年，随着民诉法“委托拍卖原则”的删除，浙江省高院联合淘宝在网上开设了司法拍卖平台。此举去除拍卖公司参与，完全消除了佣金产生的负担，显著提高了拍卖成交率、溢价率，有效维护了债权人利益，拥有广阔的发展空间。
南水北调中线工程水资源保护法律制度研究 ,法律,北京理工大学,南水北调中线工程作为缓解中国北方水资源严重短缺局面的重大战略性工程，对促进我国南北方经济、社会、环境的协调发展起到重要作用。团队成员对北京市、安康市等10个地区进行实地调研、座谈走访，对南水北调中线工程水资源保护中的具体制度、法律文件进行分析，结合我国生态建设、水资源保护的现状与问题，立足我国环境保护基本制度，借鉴国外跨流域调水的先进经验，提出针对南水北调工程等跨流域调水工程的单行法的立法建议。
