[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
新型宏动式3D鼠标,机械与控制,山东理工大学,随着3D技术的发展，人们对于3D控制真实感的要求越来越高，而目前市面上大多数鼠标为二维的，不具备3D控制的能力，已有的多数3D输入设备采用基于力/力矩的感知技术，缺乏操作真实感。因此，我们研发了一款具有空间六自由度控制功能的新型宏动式3D鼠标。优势：不仅可以实现传统鼠标的平面操作，更可实现对三维物体的操作，能带给用户更真实的三维感受，操作便捷，定位准确，摆脱了传统鼠标依赖组合键的缺陷。
新型节油导轮,机械与控制,厦门大学,本作品是一种可应用在工程机械领域、高端汽车等领域的液力变矩器新型节油导轮。其结构紧凑、安装方便，在使用中，可承载高达2800N·m的扭矩，从而满足了重型工程机械大扭矩的需求。以装载机为例，平均每台装载机可有效节油至少4%，并减少了CO2的排放。节能、环保、高效。目前，本作品已获得了一项实用新型专利，两项国家发明专利。已有一篇论文发表于《机械》杂志，另有两项国家发明专利已获申请号。
基于行星传动原理的非数控正多边形孔钻削装置,机械与控制,西安理工大学,本作品利用行星传动原理，提出了一种正多边形直边孔直接钻削加工的方法。设计出一种低成本、高效率、易操作、便于携带的正多边形通孔或盲孔的直接钻削加工装置和刀具，实现了正多边形直边孔的直接钻削加工，拓展了现有孔加工的范围，是一种新型的直边孔加工方法。
汽车桥壳机械式胀形关键技术,机械与控制,合肥工业大学,"本小组所采用的汽车桥壳机械式胀形工艺是在钢管扩张成形工艺的基础上提出的一种新工艺。通过改进开槽形状达到减少并消除缺陷的目的。与传统的铸造、冲压焊接成形工艺相比,焊缝减少，成本降低，具有重量轻、柔性高、性能好、生产率和材料利用率高以及节能环保等优点，桥壳疲劳寿命是冲压焊接桥壳的2倍以上，完全符合汽车结构轻量化的要求，对于推动汽车工业的发展，具有重要的社会和经济意义。"
速度自控式管道内检测器,机械与控制,北华大学,管道内检测器是油气管道检测通用装置，管道内检测器能否获得较低的行进速度是影响其检测精度的主要因素，本项目围绕长距离天然气管道内检测器的行进速度控制开展技术研究，依据泄流调速原理，设计并研制一套具有速度与压差双反馈的自适应式泄流调速装置，并在搭建的模拟测试平台开展实验测试研究。实测表明：该技术具有调速响应迅速、稳速性好的特点；该调速方式，无需占用检测单元的电能供给，为实现长距离管道检测提供可能。
大扩散段水流均衡器--潜没式三角翼,机械与控制,华北水利水电大学,潜没三角翼——抑制边界层分离的创新性导流体，这种带有攻角与配流孔的三角翼体安置在扩散段首部底板中轴线上，将水流向两侧适度分流，胁迫边界层贴壁、分离点延后，具有阻水小、分流强、水流连续的特点，解决了大扩散段边界层分离引起的不良流态，如主流平面不扩散、侧壁回流以及主流偏转等问题。在边界层分离的控制、改善流态、均化流速分布方面，该导流体的效果良好。
流动式太阳能热利用产品热性能测试系统,机械与控制,湖北工业大学,流动式太阳能集热器热性能测试系统是一个车载流动式的测试系统，能够实现全年全天候对家用太阳热水系统和太阳能集热器进行流动检测。测试系统满足国标《太阳能集热器热性能试验方法》对太阳能集热器的“稳态效率”、“时间常数”、“入射角修正系数”、“两端压降”的测试要求。测试系统的软件采用的是LabVIEW9.0，系统的软件部分具有界面美观、操作方便、可修改性强等优点。
血液透析装置校准仪,机械与控制,中国计量学院,县级以上医院都配备了相当数量的透析机，其参数指标的变化将危及患者的生命安全。为此，必须定期对透析机进行精确校准。目前，我国血透机校准主要依赖国外技术，但昂贵的价格限制了地、县级计量部门的使用。本作品可对血液透析装置的五个重要参数：透析液电导率、温度、流量、pH值以及动静脉压力进行一体化快速检测，并对测量数据进行实时转换、采集、处理、存储与显示。
对转螺旋桨用新型电机及驱动系统,机械与控制,湖南大学,作品针对海洋装备推进用对转螺旋桨，开发了一种新型的电机及控制系统。该电机采用特殊结构，相当于两台永磁同步电机在机械和电磁上的复合。作品发明了一种新的控制方法，利用该方法，用一台三相变频器可以很好地控制作品电机，实现了用一台电机替代两台电机的功能。作品的优点是结构紧凑、体积小、重量轻、成本低、效率高、散热性好、控制性能佳、隐蔽性好。作品在舰船、水下航行器、鱼雷等海洋装备上有广泛的应用前景。
管道漏磁探伤系统,信息技术,东北大学,本发明设计了一种管道漏磁探伤系统。它由动力节、测量节、记录节和电池节构成，其工作原理是利用检测器自带磁化装置将金属管壁磁化，用传感器检测管壁缺陷处漏磁场信息，通过分析获得管壁损伤情况。本作品在管道还未破损时就能够在内部及时探伤预警。它是一种无损检测，不需要破坏管道，检测精度高。本发明能够减少国家在管道检测中的费用，防止能源泄漏事故发生，从而起到环境保护和避免国家管道信息泄露的作用。
