[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(自然科学类)[作品信息]简介
城市绿化区过渡带的内涝消减机制与消减潜能预估模型研究,机械与控制,三峡大学,课题拟通过在绿化区中设置多孔介质吸附层来达到消减内涝的目的。吸附层由强渗透性、高吸附性能的多孔材料填充，如：建筑砖渣、煤渣等；底基层属于原土层。绿化区消减内涝的核心思想是利用吸附层中的多孔材料快速吸附和脱附水分的特性，达到就地吸纳雨洪、避免集中径流。同时，利用吸附层储存大量雨水，逐渐将雨水补充到地下水，或者泵送到植被层浇灌植物，达到雨水的综合利用。
基于GPU大规模基因片段并行匹配的新方法,信息技术,四川大学锦江学院,随着人类基因组计划的实施，分子生物学家得到了大量的有关生物分子的原始数据，面对如此丰富的数据，我们掌握的信息却很匮乏，设计各类优化算法来加快生物数据库搜索匹配是迫切需要解决的问题，本课题采用NVIDIAGeForceGTX680GPU加速多基因序列在生物数据库里的并行匹配过程。与CPU串行实现相比，基于GPU的后缀数组并行匹配基因序列获得99倍的加速比，具有重要的理论价值和潜在的应用前景。
四面六边透水框架群最优架构模型,数理,宁夏师范学院,本文主要运用高等数学中的微积分方法和物理受力分析知识建立模型，求出四面六边框架体的架空率和杆件长宽比之间的关系式并通过图形直观表达了其中的线性关系。同时，对四面六边透水框架体抛投到水中进行受力分析，进而计算出铺设长度和杆件长宽比的线性关系表达式。计算结果表明得到的公式与实际相符，可以用于实际。模型简单明了，我们在绘制架空率和杆件长宽比关系图时还借助matlab软件，以期提高计算效率。
4d过渡金属氧化物SrTcO3薄膜性质的理论研究,数理,苏州科技学院,用第一性原理方法预测薄膜SrTcO3的晶体结构、电子性质和磁性质。通过对各种磁相总能计算，发现其基态磁结构仍为G型反铁磁；通过磁交换常数计算，发现其奈尔温度极高，因此推测它可用于常温甚至高温环境，在用作自旋阀的反铁磁基片等方面具有极大优势。厚度为8.06?的薄膜SrTcO3，带隙0.17eV，其费米面附近能带结构符合热电材料特征，我们预测其可作为热电材料，在微型电源等能源领域得到广泛应用。
电针正常人印堂和百会后效应静息态fMRI脑功能成像研究,生命科学,南方医科大学,试验引入了静息态磁共振功能成像技术，以健康志愿者为研究对象，观察电针前后的脑区功能变化。以fMRI检测静息态脑区血流变化，以此作为观察指标观察电针穴位在脑区的靶向作用。图像分析和统计基于SPM8软件，采用ReHo与ALFF两种数据处理分析方法来分析影像数据，从不同角度对全脑的原始信号进行分析，结论更为全面。
内分泌学新发现：垂体调节麝鼠泌香腺分泌性类固醇激素,生命科学,北京林业大学,麝鼠是一种季节性繁殖动物，三月到十月是繁殖活跃期，繁殖期麝鼠泌香腺可以分泌大量麝鼠香。资料表明麝鼠泌香腺的活动受到性激素调节，受此启发本研究通过检测性类固醇合成酶P450scc，3β-HSD和P450c17以及卵泡刺激素受体（FSHR）和黄体生成素受体（LHR）在繁殖期和非繁殖期雄性麝鼠泌香腺和睾丸中的免疫定位，证明麝鼠泌香腺同样具有合成性激素的能力，并且和睾丸一同受到下丘脑—垂体分泌激素的调节。
反溶剂法制备水溶性甘草提取物纳米粉体的研究,生命科学,黑龙江中医药大学,将难溶于水的脂溶性药物改造成水溶性药物，已成为目前国内外制药行业普遍关注的热点领域。本研究试图通过反溶剂重结晶法制得甘草提取物纳米粉体，并结合正交设计方法摸索出最佳制备工艺条件，最后对甘草提取物原粉及该条件下得到的甘草提取物纳米粉体进行了形貌、晶态、化学结构、药物纯度以及溶出度和生物利用度等方面的比较研究。有关此方面的研究，目前还未见文献报道。
分级提取法改善药用植物半夏块茎蛋白质组分析的研究,生命科学,河南农业大学,半夏块茎是药典里一种重要的中药，具有抗肿瘤、杀虫、终止妊娠、止咳平喘等作用。但其成分复杂，药理机制仍不清楚。蛋白质组学分析有助于其蛋白质药理特性的研究。然而半夏块茎中一些高丰度蛋白严重干扰蛋白质双向电泳图谱，选择性分离高丰度蛋白是半夏块茎蛋白质组学分析的前提。本研究利用乙酸和SDS分级提取，分离了半夏块茎中的高丰度蛋白，富集了低丰度蛋白，提高了2-DE图谱的分辨率，为深入研究其药理机制奠定了基础。
WGCNA在基因筛选中的应用及其方法拓展研究,生命科学,华中农业大学,WGCNA方法利用生物网络无标度性质构建生物网络，本文从以下四个方面研究（1）方法应用思路上拓展。在二型糖尿病基因筛选上应用WGCNA方法时，与二型糖尿病候选基因作关联；（2）方法数学改进拓展。将基于Copula函数的WGCNA方法应用到小鼠体重基因表达数据中，研究小鼠体重的候选基因；（3）方法应用领域拓展。将其拓展到犯罪网络和全球状态变化网络中；（4）进一步研究。对WGCNA所用的聚类方法研究。
利用人工锌指蛋白技术调控放线菌纤维素酶表达,生命科学,大连理工大学,本作品目的是获得纤维素酶产量提高的放线菌突变菌株，能够应用于廉价生物质转化，生物燃料生产。本实验中首次将人工锌指蛋白技术应用于放线菌菌株改造中。证明了人工锌指蛋白技术在多菌种中应用的可行性。首次将人工锌指蛋白技术应用于提高菌株酶产量。目前，该技术目前只局限地应用于改造菌种耐受性。
